gameid,league,split,playoffs,game,patch,blue_team,red_team,blue_ban1,blue_ban2,blue_ban3,blue_ban4,blue_ban5,red_ban1,red_ban2,red_ban3,red_ban4,red_ban5,blue_pick1,blue_pick2,blue_pick3,blue_pick4,blue_pick5,red_pick1,red_pick2,red_pick3,red_pick4,red_pick5,blue_win
6477-8582,LDL,Summer,0,1,10.14,Young Miracles,LinGan e-Sports,Draven,Zoe,Volibear,Karma,Braum,Graves,Nidalee,Ekko,Blitzcrank,Thresh,Wukong,Lee Sin,LeBlanc,Aphelios,Leona,Renekton,Trundle,Syndra,Ashe,Nautilus,1
6634-8583,LPL,Summer,0,1,10.14,JD Gaming,eStar,Sett,Galio,Thresh,Lissandra,Jayce,Nidalee,Volibear,Twisted Fate,Renekton,Ornn,Mordekaiser,Lee Sin,LeBlanc,Aphelios,Bard,Fiora,Graves,Karma,Ashe,Nautilus,1
6476-8585,LDL,Summer,0,1,10.14,All Combo,Vici Gaming Potential,Nidalee,Kalista,Zoe,Sett,Gangplank,Ekko,Aphelios,Karma,Mordekaiser,Jax,Wukong,Volibear,LeBlanc,Jhin,Bard,Camille,Graves,Twisted Fate,Ashe,Leona,1
6477-8587,LDL,Summer,0,2,10.14,Young Miracles,LinGan e-Sports,Draven,Volibear,Zoe,Orianna,Syndra,Graves,Nidalee,Ekko,Thresh,LeBlanc,Mordekaiser,Sylas,Pantheon,Aphelios,Alistar,Renekton,Lee Sin,Galio,Ashe,Leona,1
6634-8584,LPL,Summer,0,2,10.14,JD Gaming,eStar,Sett,Galio,Karma,Lissandra,Kayle,Nidalee,Volibear,Twisted Fate,Renekton,LeBlanc,Gangplank,Lee Sin,Syndra,Aphelios,Thresh,Ornn,Graves,Zoe,Ezreal,Bard,1
6476-8586,LDL,Summer,0,2,10.14,All Combo,Vici Gaming Potential,Nidalee,Kalista,Zoe,Elise,Gangplank,Ekko,Aphelios,Karma,Mordekaiser,Wukong,Vladimir,Volibear,LeBlanc,Jhin,Bard,Sylas,Trundle,Twisted Fate,Draven,Thresh,0
6476-8590,LDL,Summer,0,3,10.14,All Combo,Vici Gaming Potential,Nidalee,Kalista,Draven,Gangplank,Sett,Ekko,Aphelios,Karma,Bard,Wukong,Vladimir,Volibear,LeBlanc,Ashe,Braum,Mordekaiser,Trundle,Zoe,Ezreal,Thresh,0
6635-8588,LPL,Summer,0,1,10.14,FunPlus Phoenix,LGD Gaming,Nidalee,Bard,Graves,Ornn,Kindred,Karma,Aphelios,Senna,Gangplank,Camille,Volibear,Lee Sin,Galio,Varus,Nautilus,Renekton,Sett,Twisted Fate,Ashe,Leona,1
6635-8591,LPL,Summer,0,2,10.14,FunPlus Phoenix,LGD Gaming,Nidalee,Bard,Graves,Kindred,Camille,Karma,Aphelios,Galio,Leona,Braum,Gangplank,Volibear,Sylas,Varus,Thresh,Renekton,Lee Sin,Twisted Fate,Ashe,Nautilus,0
6635-8592,LPL,Summer,0,3,10.14,FunPlus Phoenix,LGD Gaming,Nidalee,Graves,Volibear,Ornn,Rek'Sai,Karma,Aphelios,Galio,Camille,Gangplank,Mordekaiser,Lee Sin,Twisted Fate,Kalista,Nautilus,Renekton,Trundle,Syndra,Ashe,Bard,1
ESPORTSTMNT01/1425640,LFL,Summer,0,1,10.14,Vitality.Bee,GameWard,Ezreal,Thresh,Bard,Akali,Sylas,Volibear,Ryze,Twisted Fate,Gangplank,Aphelios,Ornn,Sett,Azir,Senna,Nautilus,Kayle,Graves,Cassiopeia,Ashe,Alistar,0
ESPORTSTMNT01/1435999,LFL,Summer,0,1,10.14,LDLC OL,Team MCES,Olaf,Orianna,Karma,Kha'Zix,Lee Sin,Volibear,Kalista,Senna,Graves,Nidalee,Gangplank,Trundle,LeBlanc,Ezreal,Nautilus,Quinn,Nocturne,Lissandra,Syndra,Bard,1
ESPORTSTMNT01/1436005,LFL,Summer,0,1,10.14,Misfits Premier,Solary,Orianna,Kog'Maw,Syndra,Malphite,Ornn,Volibear,Fiddlesticks,Kalista,Nautilus,Thresh,Renekton,Nidalee,Azir,Ezreal,Bard,Gnar,Kindred,Karma,Senna,Galio,1
ESPORTSTMNT01/1436012,LFL,Summer,0,1,10.14,GamersOrigin,IZI Dream,Volibear,Zoe,Rek'Sai,Trundle,Olaf,Graves,Twisted Fate,Syndra,Nidalee,Lee Sin,Maokai,Nocturne,Orianna,Kalista,Sett,Ornn,Kha'Zix,LeBlanc,Ezreal,Nautilus,1
ESPORTSTMNT01/1436077,CK,Summer,0,1,10.14,Jin Air Green Wings,Griffin,Sylas,Ashe,Twisted Fate,Trundle,Graves,Karma,Zoe,Volibear,Aatrox,LeBlanc,Sett,Lee Sin,Syndra,Ezreal,Leona,Ornn,Rek'Sai,Azir,Aphelios,Bard,1
6478-8593,LDL,Summer,0,1,10.14,Top Esports Challenger,Victorious Gaming,Renekton,Orianna,LeBlanc,Jayce,Pantheon,Karma,Talon,Nocturne,Sett,Twisted Fate,Gnar,Kindred,Ekko,Aphelios,Nautilus,Volibear,Nidalee,Cassiopeia,Ashe,Thresh,1
ESPORTSTMNT01/1436090,CK,Summer,0,2,10.14,Griffin,Jin Air Green Wings,Zoe,Syndra,Ornn,Olaf,Wukong,Ashe,Sylas,Karma,Camille,Graves,Jayce,Volibear,Twisted Fate,Aphelios,Bard,Sett,Trundle,Orianna,Ezreal,Alistar,1
6478-8594,LDL,Summer,0,2,10.14,Top Esports Challenger,Victorious Gaming,Renekton,Orianna,LeBlanc,Jayce,Twisted Fate,Karma,Talon,Nocturne,Syndra,Qiyana,Mordekaiser,Nidalee,Sett,Aphelios,Nautilus,Sylas,Volibear,Azir,Ezreal,Thresh,1
ESPORTSTMNT01/1436099,CK,Summer,0,3,10.14,Jin Air Green Wings,Griffin,Ashe,Twisted Fate,Bard,Braum,Volibear,Karma,Zoe,Syndra,Thresh,Leona,Sett,Lee Sin,Azir,Aphelios,Galio,Jayce,Trundle,Sylas,Ezreal,Nautilus,1
ESPORTSTMNT01/1425732,LCK,Summer,0,1,10.14,Afreeca Freecs,Hanwha Life Esports,Galio,Sylas,Ezreal,Wukong,Bard,Kalista,Karthus,Sett,Nidalee,Zoe,Mordekaiser,Volibear,Orianna,Ashe,Nautilus,Aatrox,Olaf,Karma,Aphelios,Taric,1
6480-8595,LDL,Summer,0,1,10.14,Invictus Gaming Young,eStar Young,Twisted Fate,Sett,Karthus,Ekko,Taliyah,Volibear,Aphelios,Nidalee,Zoe,Syndra,Wukong,Graves,Galio,Ezreal,Bard,Renekton,Kindred,Neeko,Ashe,Nautilus,0
6479-8597,LDL,Summer,0,1,10.14,WanZhen Esports Club,Dominus Esports Young,Ekko,Karma,Syndra,Bard,Volibear,Nidalee,Taliyah,Graves,Orianna,Kennen,Ornn,Trundle,Azir,Aphelios,Thresh,Mordekaiser,Olaf,Zoe,Ashe,Braum,0
ESPORTSTMNT01/1436113,CK,Summer,0,1,10.14,OZ Gaming,RunAway,LeBlanc,Bard,Nunu & Willump,Camille,Mordekaiser,Twisted Fate,Karma,Ashe,Kennen,Corki,Ornn,Trundle,Vel'Koz,Aphelios,Nautilus,Gangplank,Lee Sin,Zoe,Caitlyn,Thresh,1
6480-8596,LDL,Summer,0,2,10.14,Invictus Gaming Young,eStar Young,Twisted Fate,Sett,Renekton,Poppy,Kindred,Volibear,Aphelios,Nidalee,Ornn,Camille,Kennen,Graves,LeBlanc,Ezreal,Taric,Yorick,Olaf,Lissandra,Ashe,Nautilus,1
6479-8598,LDL,Summer,0,2,10.14,Dominus Esports Young,WanZhen Esports Club,Nidalee,Taliyah,Graves,Tahm Kench,Senna,Ekko,Karma,Olaf,Karthus,Kha'Zix,Camille,Sylas,Galio,Ashe,Thresh,Renekton,Lee Sin,Syndra,Xayah,Nautilus,1
ESPORTSTMNT01/1425770,LCK,Summer,0,2,10.14,Hanwha Life Esports,Afreeca Freecs,Karthus,Karma,Aphelios,Poppy,Quinn,Volibear,Galio,Bard,Taric,Wukong,Renekton,Nidalee,Azir,Kalista,Rakan,Mordekaiser,Sett,Zoe,Ashe,Tahm Kench,0
ESPORTSTMNT01/1436132,CK,Summer,0,2,10.14,RunAway,OZ Gaming,Twisted Fate,Ashe,Kalista,Nautilus,Alistar,Bard,Karma,LeBlanc,Nidalee,Nunu & Willump,Renekton,Karthus,Jayce,Aphelios,Thresh,Ornn,Trundle,Zoe,Ezreal,Blitzcrank,0
6480-8600,LDL,Summer,0,3,10.14,Invictus Gaming Young,eStar Young,Twisted Fate,Sett,Renekton,LeBlanc,Zoe,Volibear,Aphelios,Nidalee,Mordekaiser,Kennen,Ornn,Graves,Syndra,Ezreal,Taric,Wukong,Kindred,Galio,Ashe,Braum,0
6636-8599,LPL,Summer,0,1,10.15,Suning,Top Esports,Ezreal,Nidalee,Karma,Ornn,Nautilus,Zoe,Twisted Fate,Graves,Bard,Jhin,Renekton,Volibear,LeBlanc,Senna,Tahm Kench,Maokai,Lee Sin,Syndra,Ashe,Thresh,0
6481-8602,LDL,Summer,0,1,10.14,Shu Dai Xiong Gaming,Royal Club,Qiyana,Renekton,Cassiopeia,Jax,Wukong,Zoe,Volibear,Senna,Azir,Syndra,Mordekaiser,Graves,Galio,Kalista,Sett,Aatrox,Karthus,Pantheon,Ezreal,Bard,0
ESPORTSTMNT01/1425772,LCK,Summer,0,1,10.14,DAMWON Gaming,DRX,Karma,Azir,Ezreal,Galio,Sejuani,Volibear,Twisted Fate,Kalista,LeBlanc,Nidalee,Kennen,Sett,Zoe,Aphelios,Thresh,Jayce,Trundle,Camille,Heimerdinger,Senna,1
6636-8601,LPL,Summer,0,2,10.15,Suning,Top Esports,Ezreal,Nidalee,Karma,Graves,Lee Sin,Zoe,Twisted Fate,Renekton,Bard,Jhin,Wukong,Volibear,LeBlanc,Aphelios,Nautilus,Mordekaiser,Jarvan IV,Syndra,Ashe,Tahm Kench,0
6482-8604,LDL,Summer,0,1,10.14,LGD Gaming Young Team,V5 87,Twisted Fate,Sett,Bard,LeBlanc,Galio,Nidalee,Zoe,Karma,Rumble,Mordekaiser,Renekton,Graves,Cassiopeia,Aphelios,Thresh,Ornn,Volibear,Syndra,Ashe,Nautilus,1
6481-8603,LDL,Summer,0,2,10.14,Royal Club,Shu Dai Xiong Gaming,Zoe,Volibear,Senna,Ornn,Mordekaiser,Qiyana,Cassiopeia,Sett,Bard,Aphelios,Renekton,Graves,Galio,Xayah,Rakan,Maokai,Trundle,Corki,Ashe,Thresh,0
6482-8606,LDL,Summer,0,2,10.14,LGD Gaming Young Team,V5 87,Twisted Fate,Sett,Bard,Tahm Kench,Ornn,Nidalee,Graves,Karma,Pantheon,Cassiopeia,Renekton,Elise,Nocturne,Ashe,Nautilus,Camille,Volibear,Galio,Ezreal,Braum,1
6481-8607,LDL,Summer,0,3,10.14,Shu Dai Xiong Gaming,Royal Club,Qiyana,Cassiopeia,Renekton,Karma,Jax,Zoe,Volibear,Senna,Pantheon,Gangplank,Fiora,Ekko,Sett,Ashe,Blitzcrank,Mordekaiser,Kindred,Akali,Aphelios,Thresh,1
6637-8605,LPL,Summer,0,1,10.15,Team WE,Victory Five,,,,,,,,,,,Renekton,Trundle,Twisted Fate,Ezreal,Leona,Mordekaiser,Volibear,Zoe,Kalista,Nautilus,1
ESPORTSTMNT01/1425804,LCK,Summer,0,2,10.14,DRX,DAMWON Gaming,Kalista,Pantheon,Sett,Heimerdinger,Nidalee,Ezreal,Volibear,Azir,Karma,Aphelios,Renekton,Olaf,Twisted Fate,Xayah,Rakan,Camille,Karthus,Galio,Senna,Tahm Kench,0
6637-8608,LPL,Summer,0,2,10.15,Victory Five,Team WE,,,,,,,,,,,Renekton,Olaf,Syndra,Ashe,Tahm Kench,Kennen,Volibear,Twisted Fate,Ezreal,Nautilus,1
6637-8609,LPL,Summer,0,3,10.15,Team WE,Victory Five,,,,,,,,,,,Mordekaiser,Volibear,Twisted Fate,Ezreal,Nautilus,Gangplank,Trundle,Zoe,Senna,Tahm Kench,0
ESPORTSTMNT05/1540037,TRA,Summer,0,1,10.15,Team AURORA Academy,5 Ronin Academy,Karma,Bard,Braum,Renekton,Mordekaiser,Thresh,Senna,Karthus,Cassiopeia,Corki,Wukong,Sett,Ryze,Jhin,Nautilus,Aatrox,Volibear,Galio,Ezreal,Morgana,1
ESPORTSTMNT05/1540051,TRA,Summer,0,1,10.15,Galakticos Academy,Dark Passage Academy,Trundle,Camille,Karthus,Aatrox,Renekton,Volibear,Karma,Sett,Malphite,Fiora,Ornn,Nidalee,Orianna,Ashe,Thresh,Wukong,Lee Sin,Azir,Senna,Tahm Kench,0
ESPORTSTMNT05/1540054,TRA,Summer,0,1,10.15,Royal Youth Academy,1907 Fenerbahçe Academy,Thresh,Olaf,Volibear,Irelia,Senna,Wukong,Renekton,Karma,Urgot,Mordekaiser,Camille,Trundle,Orianna,Ashe,Nautilus,Fiora,Rek'Sai,Sett,Karthus,Leona,1
ESPORTSTMNT01/1425832,LFL,Summer,0,1,10.14,IZI Dream,LDLC OL,Graves,Nidalee,Lee Sin,Zoe,Gangplank,Volibear,Karma,Rek'Sai,LeBlanc,Zed,Renekton,Trundle,Akali,Syndra,Thresh,Sett,Karthus,Ezreal,Jhin,Bard,0
ESPORTSTMNT05/1540057,TRA,Summer,0,1,10.15,Beşiktaş Academy,SuperMassive Academy,Wukong,Olaf,Ezreal,Kha'Zix,Ekko,Karma,Volibear,Senna,Tryndamere,Lucian,Ornn,Graves,Jayce,Karthus,Leona,Sylas,Lee Sin,Syndra,Ashe,Bard,0
ESPORTSTMNT05/1540064,TRA,Summer,0,1,10.15,İstanbul Wildcats Academy,Galatasaray Academy,Thresh,Ziggs,Sett,Renekton,Vladimir,Karthus,Karma,Wukong,Nautilus,Nidalee,Camille,Volibear,Syndra,Kai'Sa,Leona,Poppy,Olaf,Zoe,Ezreal,Bard,1
ESPORTSTMNT01/1425841,LFL,Summer,0,1,10.14,GameWard,GamersOrigin,Syndra,Twisted Fate,Kalista,Ornn,Maokai,Karthus,Graves,Ezreal,Lee Sin,Nocturne,Wukong,Volibear,Orianna,Senna,Bard,Gangplank,Trundle,Zoe,Ashe,Thresh,0
ESPORTSTMNT01/1425846,LFL,Summer,0,1,10.14,Solary,Vitality.Bee,Ryze,Thresh,Volibear,Gangplank,Jayce,Senna,Ezreal,Graves,Corki,Cassiopeia,Renekton,Kha'Zix,Kog'Maw,Karthus,Alistar,Sylas,Sejuani,Azir,Aphelios,Bard,0
ESPORTSTMNT01/1425849,LFL,Summer,0,1,10.14,Team MCES,Misfits Premier,Senna,Syndra,Orianna,Gangplank,Irelia,Volibear,Azir,Kalista,Kassadin,Lissandra,Sion,Olaf,Galio,Ashe,Bard,Wukong,Nidalee,LeBlanc,Ezreal,Thresh,0
ESPORTSTMNT02/1401270,LCS.A,Summer,0,1,10.15,Team Liquid Academy,Dignitas Academy,Ashe,Volibear,Galio,Ornn,Graves,Kennen,Olaf,Sona,Sylas,Nidalee,Gangplank,Karthus,Sett,Kai'Sa,Blitzcrank,Vladimir,Lee Sin,Twisted Fate,Kalista,Thresh,1
ESPORTSTMNT02/1401285,LCS.A,Summer,0,1,10.15,Golden Guardians Academy,CLG Academy,Sona,Galio,Kalista,Caitlyn,Pantheon,Karma,Twisted Fate,Bard,Gangplank,Kayle,Camille,Nidalee,Sett,Ezreal,Rakan,Ornn,Vi,Rumble,Xayah,Leona,1
ESPORTSTMNT02/1401294,LCS.A,Summer,0,1,10.15,TSM Academy,Cloud9 Academy,Galio,Olaf,Kalista,Gangplank,Nautilus,Twisted Fate,Trundle,Ezreal,Orianna,Ornn,Sett,Gragas,Irelia,Ashe,Thresh,Wukong,Volibear,Zoe,Senna,Tahm Kench,0
ESPORTSTMNT02/1401302,LCS.A,Summer,0,1,10.15,Immortals Academy,100 Thieves Academy,Karma,Olaf,Kalista,Thresh,Camille,Ezreal,Galio,Sona,Gangplank,Wukong,Mordekaiser,Volibear,Twisted Fate,Jhin,Pantheon,Sett,Trundle,Orianna,Ashe,Tahm Kench,1
ESPORTSTMNT02/1401313,LCS.A,Summer,0,1,10.15,FlyQuest Academy,Evil Geniuses Academy,Galio,Karma,Kalista,Jayce,Camille,Azir,Pantheon,Volibear,Bard,Trundle,Ornn,Graves,Sylas,Ezreal,Sett,Shen,Olaf,Twisted Fate,Ashe,Nautilus,0
ESPORTSTMNT01/1425916,CK,Summer,0,1,10.14,Awesome Spear,Element Mystic,Twisted Fate,Sett,Pantheon,Nidalee,Jayce,Kalista,Syndra,LeBlanc,Sylas,Renekton,Karma,Trundle,Orianna,Ezreal,Leona,Volibear,Gragas,Yasuo,Aphelios,Nautilus,1
6483-8610,LDL,Summer,0,1,10.14,Team WE Academy,LinGan e-Sports,Draven,Volibear,Twisted Fate,Tahm Kench,Ornn,LeBlanc,Nidalee,Graves,Varus,Renekton,Wukong,Lee Sin,Zoe,Jhin,Thresh,Mordekaiser,Trundle,Orianna,Ashe,Nautilus,1
ESPORTSTMNT01/1425928,CK,Summer,0,2,10.14,Element Mystic,Awesome Spear,Kalista,LeBlanc,Syndra,Renekton,Sylas,Twisted Fate,Karma,Sett,Yasuo,Lucian,Volibear,Lee Sin,Azir,Ezreal,Bard,Kennen,Trundle,Zoe,Ashe,Thresh,0
ESPORTSTMNT02/1401336,OPL,Split 2,0,1,10.15,Avant Gaming,Chiefs Esports Club,,,,,,,,,,,Kennen,Volibear,Zoe,Kalista,Rakan,Sylas,Jax,LeBlanc,Ashe,Braum,0
6483-8611,LDL,Summer,0,2,10.14,LinGan e-Sports,Team WE Academy,Thresh,LeBlanc,Nidalee,Lee Sin,Rek'Sai,Draven,Graves,Renekton,Nautilus,Ornn,Mordekaiser,Trundle,Zoe,Aphelios,Braum,Gangplank,Volibear,Twisted Fate,Ashe,Bard,0
ESPORTSTMNT01/1436290,LCK,Summer,0,1,10.14,T1,KT Rolster,Nidalee,Karma,Twisted Fate,Azir,Tahm Kench,Kalista,Karthus,Bard,Galio,Sylas,Vladimir,Volibear,Zoe,Xayah,Rakan,Kennen,Olaf,Orianna,Ashe,Lux,1
ESPORTSTMNT02/1401338,OPL,Split 2,0,1,10.15,Gravitas,Legacy Esports,Galio,Karma,Ashe,Gangplank,Camille,LeBlanc,Nidalee,Akali,Mordekaiser,Poppy,Wukong,Ekko,Lulu,Caitlyn,Bard,Renekton,Trundle,Cassiopeia,Senna,Thresh,0
ESPORTSTMNT01/1425942,CK,Summer,0,1,10.14,ESC Shane,hyFresh Blade,Zoe,Bard,LeBlanc,Olaf,Tahm Kench,Sett,Pantheon,Karma,Sylas,Nidalee,Renekton,Elise,Azir,Volibear,Senna,Camille,Trundle,Twisted Fate,Ezreal,Leona,0
6485-8612,LDL,Summer,0,1,10.14,Joy Dream,optical spectrum E-sports,Nidalee,Ekko,Vladimir,Nautilus,Braum,Syndra,Orianna,Twisted Fate,Sylas,Galio,Renekton,Trundle,Zoe,Aphelios,Thresh,Volibear,Lee Sin,Lissandra,Ashe,Tahm Kench,1
6484-8614,LDL,Summer,0,1,10.14,Suning-S,Vici Gaming Potential,Twisted Fate,LeBlanc,Fizz,Pantheon,Qiyana,Jayce,Ekko,Graves,Ashe,Bard,Renekton,Taliyah,Sett,Draven,Nautilus,Ornn,Nidalee,Ezreal,Aphelios,Thresh,1
ESPORTSTMNT02/1401346,OPL,Split 2,0,1,10.15,MAMMOTH,Dire Wolves,Syndra,Zoe,Ashe,Sett,Ornn,Heimerdinger,Ezreal,Volibear,Morgana,Ahri,Karma,Graves,Xerath,Caitlyn,Thresh,Camille,Lee Sin,Azir,Kai'Sa,Nautilus,0
ESPORTSTMNT01/1425956,CK,Summer,0,2,10.14,hyFresh Blade,ESC Shane,Pantheon,Sylas,Karma,Ezreal,Ashe,Zoe,Twisted Fate,LeBlanc,Jarvan IV,Renekton,Mordekaiser,Sett,Galio,Kalista,Thresh,Camille,Olaf,Corki,Caitlyn,Bard,0
6485-8613,LDL,Summer,0,2,10.14,Joy Dream,optical spectrum E-sports,Ekko,Nidalee,Lissandra,Vladimir,Tahm Kench,Syndra,Orianna,LeBlanc,Twisted Fate,Nautilus,Volibear,Rek'Sai,Sylas,Aphelios,Sett,Mordekaiser,Lee Sin,Ryze,Ashe,Thresh,1
ESPORTSTMNT02/1401352,PCS,Summer,0,1,10.15,Nova Esports,Resurgence,Twisted Fate,Volibear,Fiddlesticks,Ekko,Karthus,Nidalee,Graves,Thresh,LeBlanc,Zoe,Kalista,Sett,Syndra,Xayah,Rakan,Maokai,Lee Sin,Lucian,Ashe,Nautilus,1
6484-8615,LDL,Summer,0,2,10.14,Suning-S,Vici Gaming Potential,Twisted Fate,LeBlanc,Fizz,Zoe,Syndra,Jayce,Ekko,Graves,Draven,Kalista,Aatrox,Taliyah,Sett,Ashe,Karma,Renekton,Nidalee,Orianna,Aphelios,Nautilus,1
ESPORTSTMNT01/1425958,CK,Summer,0,3,10.14,ESC Shane,hyFresh Blade,Zoe,LeBlanc,Twisted Fate,Renekton,Sylas,Sett,Pantheon,Karma,Olaf,Galio,Camille,Karthus,Zed,Ashe,Thresh,Fiora,Volibear,Orianna,Ezreal,Bard,0
ESPORTSTMNT01/1436333,LCK,Summer,0,2,10.14,KT Rolster,T1,Kalista,Karthus,Bard,Nautilus,Quinn,Twisted Fate,Karma,Galio,Wukong,Ornn,Renekton,Volibear,Azir,Ezreal,Tahm Kench,Camille,Sett,Akali,Aphelios,Thresh,0
ESPORTSTMNT02/1401355,OPL,Split 2,0,1,10.15,Pentanet.GG,ORDER,Karthus,Zoe,Kalista,Renekton,Sion,Volibear,Trundle,Thresh,Dr. Mundo,Kayle,Shen,Lee Sin,Orianna,Ashe,Nautilus,Sett,Nidalee,LeBlanc,Jhin,Morgana,0
6487-8617,LDL,Summer,0,1,10.14,JingNetGame,Bilibili Gaming Junior,Sylas,Camille,Mordekaiser,Karthus,Ekko,Graves,Volibear,Nidalee,Poppy,Thresh,Karma,Lee Sin,LeBlanc,Aphelios,Bard,Renekton,Trundle,Kassadin,Ashe,Nautilus,1
6638-8616,LPL,Summer,0,1,10.15,Royal Never Give Up,Dominus Esports,Cassiopeia,Lee Sin,Senna,Kalista,Jhin,Volibear,Renekton,Sett,Tahm Kench,Wukong,Mordekaiser,Nidalee,Jayce,Ashe,Nautilus,Camille,Kindred,Galio,Ezreal,Bard,1
ESPORTSTMNT01/1425966,VCS,Summer,0,1,10.14,Percent Esports,GAM Esports,Lucian,Jayce,Ashe,Gragas,Tristana,Zoe,Syndra,Senna,Thresh,Volibear,Kennen,Nocturne,Galio,Aphelios,Lulu,Renekton,Lee Sin,Rumble,Ezreal,Bard,0
6486-8619,LDL,Summer,0,1,10.14,Legend Esport Gaming,Young Miracles,Nunu & Willump,Graves,Sylas,Thresh,Leona,Yasuo,Pantheon,Ezreal,Renekton,Braum,Kennen,Nidalee,Aatrox,Ashe,Nautilus,Mordekaiser,Ekko,Sett,Aphelios,Alistar,1
ESPORTSTMNT02/1401364,PCS,Summer,0,1,10.15,Machi Esports,Liyab Esports,Sylas,Nidalee,Zoe,Lee Sin,Trundle,Sett,Karma,Volibear,Orianna,Galio,Ornn,Graves,Azir,Ezreal,Leona,Camille,Olaf,Twisted Fate,Ashe,Bard,1
ESPORTSTMNT01/1436351,LCK,Summer,0,1,10.14,SANDBOX Gaming,Team Dynamics,Senna,Sett,Bard,Lucian,Wukong,Volibear,Karma,Twisted Fate,Zoe,LeBlanc,Jayce,Olaf,Corki,Aphelios,Tahm Kench,Akali,Trundle,Azir,Ashe,Pantheon,1
6638-8618,LPL,Summer,0,2,10.15,Dominus Esports,Royal Never Give Up,Syndra,Galio,Graves,Renekton,Kennen,Cassiopeia,Nidalee,Senna,Lee Sin,Trundle,Volibear,Lillia,Jayce,Jhin,Sett,Ornn,Olaf,Azir,Ashe,Nautilus,0
6487-8620,LDL,Summer,0,2,10.14,JingNetGame,Bilibili Gaming Junior,Sylas,Camille,Mordekaiser,Nautilus,Thresh,Graves,LeBlanc,Nidalee,Renekton,Sett,Wukong,Volibear,Zoe,Kalista,Taric,Kennen,Trundle,Galio,Aphelios,Leona,1
6486-8621,LDL,Summer,0,2,10.14,Young Miracles,Legend Esport Gaming,Yasuo,Pantheon,Ezreal,Kennen,Rumble,Nunu & Willump,Graves,Nidalee,Sylas,Ekko,Cho'Gath,Lee Sin,Neeko,Aphelios,Leona,Wukong,Volibear,Lissandra,Ashe,Thresh,0
ESPORTSTMNT02/1401367,PCS,Summer,0,1,10.15,Hong Kong Attitude,ahq eSports Club,Graves,Renekton,Aphelios,Galio,Mordekaiser,LeBlanc,Trundle,Thresh,Nautilus,Karma,Ornn,Sett,Zoe,Ezreal,Leona,Sylas,Volibear,Syndra,Ashe,Bard,0
ESPORTSTMNT01/1425977,VCS,Summer,0,2,10.14,GAM Esports,Percent Esports,Zoe,Syndra,Galio,Azir,Ryze,Lucian,Jayce,Ashe,Gragas,Sylas,Renekton,Fiddlesticks,Tristana,Aphelios,Thresh,Wukong,Nidalee,Karma,Senna,Tahm Kench,1
6639-8622,LPL,Summer,0,1,10.15,LGD Gaming,Vici Gaming,Kalista,LeBlanc,Renekton,Akali,Nautilus,Twisted Fate,Bard,Graves,Syndra,Yuumi,Volibear,Nidalee,Zoe,Ezreal,Leona,Ornn,Sett,Orianna,Aphelios,Thresh,1
ESPORTSTMNT01/1425981,VCS,Summer,0,1,10.14,OverPower Esports,Team Secret,Nidalee,Twisted Fate,Syndra,Shyvana,Jax,Lee Sin,Trundle,Graves,Renekton,Ashe,Mordekaiser,Volibear,Lucian,Ezreal,Pantheon,Camille,Elise,Jayce,Aphelios,Thresh,0
ESPORTSTMNT01/1436377,LCK,Summer,0,2,10.14,Team Dynamics,SANDBOX Gaming,Karma,Twisted Fate,Tahm Kench,Jayce,Sylas,Senna,Sett,Bard,LeBlanc,Nidalee,Akali,Volibear,Zoe,Ashe,Pantheon,Kennen,Olaf,Orianna,Aphelios,Thresh,1
ESPORTSTMNT02/1401372,PCS,Summer,0,1,10.15,Berjaya Dragons,Liyab Esports,Bard,Zoe,Lee Sin,Renekton,Leona,Sett,Karma,Ornn,Tahm Kench,Thresh,Mordekaiser,Graves,Syndra,Ashe,Braum,Fiora,Nidalee,Galio,Ezreal,Pantheon,0
6639-8623,LPL,Summer,0,2,10.15,Vici Gaming,LGD Gaming,Bard,Twisted Fate,Volibear,Syndra,Zoe,Kalista,Nidalee,Aphelios,Kayle,Renekton,Gangplank,Lillia,Orianna,Senna,Nautilus,Ornn,Graves,Sylas,Ezreal,Tahm Kench,0
ESPORTSTMNT01/1436394,LCK,Summer,0,3,10.14,SANDBOX Gaming,Team Dynamics,Senna,Sett,Bard,Renekton,Olaf,Volibear,Karma,Tahm Kench,Jayce,Wukong,Kennen,Lee Sin,Twisted Fate,Aphelios,Nautilus,Akali,Trundle,Sylas,Ashe,Pantheon,1
ESPORTSTMNT02/1401385,PCS,Summer,0,1,10.15,J Team,Alpha Esports,Zoe,Kalista,Nidalee,Renekton,Mordekaiser,Ashe,Kennen,Karma,Senna,Bard,Camille,Volibear,Twisted Fate,Ezreal,Braum,Wukong,Ekko,Sett,Aphelios,Thresh,1
ESPORTSTMNT01/1425993,VCS,Summer,0,2,10.14,Team Secret,OverPower Esports,Trundle,Nidalee,Volibear,Mordekaiser,Wukong,Graves,Aphelios,Twisted Fate,Rek'Sai,Gragas,Lucian,Shyvana,Irelia,Ashe,Tahm Kench,Renekton,Elise,Ryze,Kalista,Pantheon,0
